t_id,id_visitante,procedencia
Training_10118481.jpg,16656,filipinas
Training_15361067.jpg,12164,espa?a
Training_16232328.jpg,28210,puerto rico
Training_27705571.jpg,26769,paraguay
Training_63766171.jpg,794,argentina
Training_66555113.jpg,10208,espa?a
Training_81499267.jpg,29084,rep?blica dominicana
Training_94007493.jpg,23609,jamaica
Training_12950225.jpg,15473,espa?a
Training_42955258.jpg,12116,espa?a
Training_50338135.jpg,7995,ecuador
Training_65820611.jpg,20495,hait?
Training_8397060.jpg,3936,chile
Training_90069123.jpg,12215,espa?a
Training_28136915.jpg,12537,espa?a
Training_52516519.jpg,16442,filipinas
Training_61794811.jpg,12819,espa?a
Training_66142455.jpg,2418,brasil
Training_72798447.jpg,14347,espa?a
Training_78245467.jpg,3823,canad?
Training_83065372.jpg,3532,canad?
Training_87355987.jpg,1537,argentina
Training_88196061.jpg,21222,honduras
Training_29363112.jpg,642,alemania
Training_36501565.jpg,9133,el salvador
Training_53284079.jpg,10791,espa?a
Training_53305606.jpg,11996,espa?a
Training_20716064.jpg,11432,espa?a
Training_61325993.jpg,8923,el salvador
Training_61564918.jpg,5711,colombia
Training_75082078.jpg,9729,espa?a
PublicTest_43074366.jpg,21097,hait?
PublicTest_28123281.jpg,12197,espa?a
PublicTest_75651978.jpg,13230,espa?a
PrivateTest_92593957.jpg,13456,espa?a
PrivateTest_98556225.jpg,14440,espa?a
Training_10120469.jpg,21912,india
Training_15848209.jpg,25961,panam?
Training_19226789.jpg,9526,espa?a
Training_2729866.jpg,28605,puerto rico
Training_2978709.jpg,27526,per?
Training_50449072.jpg,897,argentina
Training_59169722.jpg,28834,puerto rico
Training_72552568.jpg,13655,espa?a
Training_8911067.jpg,19972,guinea-bissau
Training_19237812.jpg,5441,china
Training_37488451.jpg,23844,jamaica
Training_4879752.jpg,6145,colombia
Training_94085355.jpg,26943,paraguay
Training_99751984.jpg,32043,venezuela
Training_20208912.jpg,1522,argentina
Training_21243772.jpg,22111,india
Training_30113079.jpg,3195,canad?
Training_56543816.jpg,20659,hait?
Training_72647284.jpg,27240,paraguay
Training_78312130.jpg,19909,guinea-bissau
Training_85932660.jpg,20588,hait?
Training_91534280.jpg,28318,puerto rico
Training_94534277.jpg,9527,espa?a
Training_1204614.jpg,11747,espa?a
Training_15524948.jpg,17170,filipinas
Training_57944429.jpg,20460,hait?
Training_68298637.jpg,20414,hait?
Training_72115626.jpg,12890,espa?a
Training_86279124.jpg,8345,ecuador
Training_13319523.jpg,26955,paraguay
Training_50683673.jpg,11124,espa?a
Training_98409862.jpg,2871,brasil
PublicTest_93746530.jpg,28893,puerto rico
PrivateTest_65546158.jpg,4009,chile
PublicTest_23782142.jpg,4121,chile
PublicTest_35686529.jpg,23114,italia
PublicTest_88046230.jpg,19102,guinea ecuatorial
Training_10131352.jpg,12769,espa?a
Training_15498699.jpg,7359,cuba
Training_16538275.jpg,11423,espa?a
Training_27707888.jpg,28469,puerto rico
Training_33408401.jpg,7316,cuba
Training_35899521.jpg,10722,espa?a
Training_46501880.jpg,26827,paraguay
Training_49106080.jpg,10138,espa?a
Training_53661557.jpg,13021,espa?a
Training_81192903.jpg,11712,espa?a
Training_84325046.jpg,2421,brasil
Training_90026754.jpg,7802,cuba
Training_91019189.jpg,4421,chile
Training_96298080.jpg,31103,uruguay
Training_98000381.jpg,11264,espa?a
Training_18375779.jpg,19158,guinea ecuatorial
Training_25912105.jpg,23100,italia
Training_33315056.jpg,16635,filipinas
Training_5453423.jpg,30835,uruguay
Training_77982832.jpg,29284,rep?blica dominicana
Training_12918469.jpg,12925,espa?a
Training_14078248.jpg,2261,bolivia
Training_36557536.jpg,2006,bolivia
Training_36725406.jpg,16402,estados unidos
Training_41454428.jpg,15746,estados unidos
Training_69898122.jpg,20725,hait?
Training_9925349.jpg,15356,espa?a
Training_13009130.jpg,23072,italia
Training_21050219.jpg,27809,per?
Training_29858227.jpg,12828,espa?a
Training_70265936.jpg,5060,china
Training_83848798.jpg,10061,espa?a
Training_47173336.jpg,22169,india
Training_55847949.jpg,13498,espa?a
Training_93101774.jpg,17333,francia
PublicTest_43169549.jpg,9167,el salvador
Training_10161559.jpg,10178,espa?a
Training_25957924.jpg,29175,rep?blica dominicana
Training_25979060.jpg,18932,guinea ecuatorial
Training_30337890.jpg,10282,espa?a
Training_44830316.jpg,10169,espa?a
Training_51885310.jpg,13072,espa?a
Training_60986125.jpg,28640,puerto rico
Training_62362932.jpg,10873,espa?a
Training_6971336.jpg,12381,espa?a
Training_22868376.jpg,11508,espa?a
Training_26552601.jpg,12584,espa?a
Training_28677017.jpg,2842,brasil
Training_42037605.jpg,12409,espa?a
Training_70760624.jpg,30577,uruguay
Training_87335410.jpg,4888,china
Training_12302906.jpg,575,alemania
Training_36695637.jpg,20358,hait?
Training_5349872.jpg,21028,hait?
Training_6008930.jpg,19908,guinea-bissau
Training_77128306.jpg,30884,uruguay
Training_77465577.jpg,25997,panam?
Training_91592034.jpg,27225,paraguay
Training_3119601.jpg,1409,argentina
Training_25660075.jpg,10522,espa?a
Training_2900169.jpg,14098,espa?a
Training_7920978.jpg,9184,el salvador
Training_96149283.jpg,31293,uruguay
Training_17123874.jpg,13228,espa?a
PublicTest_24489785.jpg,11416,espa?a
PublicTest_85118178.jpg,13179,espa?a
Training_1021836.jpg,3226,canad?
Training_15466417.jpg,6108,colombia
Training_19595003.jpg,6482,costa rica
Training_54086407.jpg,15217,espa?a
Training_73833007.jpg,12394,espa?a
Training_81699068.jpg,4760,china
Training_9570645.jpg,16992,filipinas
Training_98997562.jpg,20790,hait?
Training_13292144.jpg,12764,espa?a
Training_15309290.jpg,12113,espa?a
Training_29017000.jpg,830,argentina
Training_74697679.jpg,18750,guatemala
Training_82880182.jpg,14290,espa?a
Training_18787866.jpg,7971,ecuador
Training_22275808.jpg,20154,guinea-bissau
Training_28451921.jpg,2040,bolivia
