t_id,id_visitante,atraccion,comienzo_atraccion_fecha_hora,tiempo_de_espera,tipo_entrada,coste,antelacion_de_compra
Training_10118481.jpg,16656,monta?a rusa de la luna,2022-09-13 10:00:00,5,pase anual,14.0,0
Training_15361067.jpg,12164,mansi?n embrujada,2022-09-08 19:00:00,11,entrada familiar,20.9,2
Training_16232328.jpg,28210,simulador espacial 3d,2022-09-17 07:00:00,19,entrada infantil,12.64,218
Training_27705571.jpg,26769,fiesta de los dulces,2022-09-27 08:00:00,9,paquete vip,18.49,39
Training_63766171.jpg,794,gran ca?da libre,2022-09-26 20:00:00,17,entrada familiar,18.23,135
Training_66555113.jpg,10208,cine 4d emocionante,2022-09-23 12:00:00,18,entrada infantil,19.4,75
Training_81499267.jpg,29084,tobog?n del arco iris,2022-09-13 16:00:00,19,pase anual,27.84,198
Training_94007493.jpg,23609,vuelo m?gico,2022-09-04 17:00:00,7,entrada infantil,20.05,273
Training_12950225.jpg,15473,ara?a saltarina,2022-09-14 11:00:00,9,pase anual,25.97,357
Training_42955258.jpg,12116,tobog?n del arco iris,2022-09-24 07:00:00,10,pase rapido erroneo,11.37,72
Training_50338135.jpg,7995,cine 4d emocionante,2022-09-18 16:00:00,9,entrada familiar,26.21,122
Training_65820611.jpg,20495,mundo de las maravillas,2022-09-30 09:00:00,9,entrada infantil,19.23,0
Training_8397060.jpg,3936,mansi?n embrujada,2022-10-01 03:00:00,11,pase r?pido,13.94,3
Training_90069123.jpg,12215,simulador espacial 3d,2022-09-18 13:00:00,9,pase r?pido,27.12,0
Training_28136915.jpg,12537,mansi?n embrujada,2022-09-01 09:00:00,14,paquete vip,19.26,248
Training_52516519.jpg,16442,mansi?n embrujada,2022-09-25 14:00:00,20,entrada infantil,24.25,0
Training_61794811.jpg,12819,fiesta de los dulces,2022-09-04 23:00:00,19,entrada infantil,13.3,159
Training_66142455.jpg,2418,mundo de las maravillas,2022-09-11 04:00:00,16,paquete vip,15.09,181
Training_72798447.jpg,14347,cohetes gal?cticos,2022-09-08 22:00:00,5,pase anual,18.77,0
Training_78245467.jpg,3823,cohetes gal?cticos,2022-09-07 19:00:00,16,entrada familiar,11.11,123
Training_83065372.jpg,3532,safari salvaje,2022-09-11 08:00:00,19,pase rapido erroneo,11.64,12
Training_87355987.jpg,1537,barco pirata misterioso,2022-09-23 18:00:00,14,entrada individual,18.96,1
Training_88196061.jpg,21222,monta?a del misterio,2022-09-23 03:00:00,12,pase anual,17.15,280
Training_29363112.jpg,642,mundo de las maravillas,2022-09-22 07:00:00,16,entrada individual,8.3,36
Training_36501565.jpg,9133,selva encantada,2022-09-15 23:00:00,13,pase anual,22.25,0
Training_53284079.jpg,10791,cohetes gal?cticos,2022-09-07 19:00:00,15,pase r?pido,25.11,0
Training_53305606.jpg,11996,jard?n de las hadas,2022-09-14 16:00:00,12,entrada individual,22.62,214
Training_20716064.jpg,11432,cine 4d emocionante,2022-09-28 17:00:00,15,paquete vip,12.29,309
Training_61325993.jpg,8923,espejos de la risue?a,2022-09-14 03:00:00,8,entrada individual,15.07,172
Training_61564918.jpg,5711,mansi?n embrujada,2022-09-02 20:00:00,14,entrada familiar,25.52,2
Training_75082078.jpg,9729,laberinto de sue?os,2022-09-22 13:00:00,13,entrada infantil,17.06,183
PublicTest_43074366.jpg,21097,drag?n volador,2022-09-06 08:00:00,14,entrada infantil,14.51,0
PublicTest_28123281.jpg,12197,selva encantada,2022-09-23 03:00:00,22,paquete vip,16.24,1
PublicTest_75651978.jpg,13230,drag?n volador,2022-09-17 17:00:00,14,paquete vip,8.92,73
PrivateTest_92593957.jpg,13456,carros chocones divertidos,2022-09-16 07:00:00,15,entrada familiar,17.35,165
PrivateTest_98556225.jpg,14440,carros chocones divertidos,2022-09-28 04:00:00,13,entrada familiar,3.43,334
Training_10120469.jpg,21912,carrusel encantado,2022-09-19 00:00:00,11,entrada individual,13.79,113
Training_15848209.jpg,25961,viaje al centro de la tierra,2022-09-16 10:00:00,16,entrada infantil,9.65,68
Training_19226789.jpg,9526,monta?a rusa de la luna,2022-09-01 22:00:00,12,entrada familiar,23.3,329
Training_2729866.jpg,28605,mansi?n embrujada,2022-09-12 20:00:00,12,pase rapido erroneo,15.88,251
Training_2978709.jpg,27526,caravana de aventuras,2022-09-15 09:00:00,16,pase rapido erroneo,23.31,317
Training_50449072.jpg,897,cascada encantada,2022-09-28 14:00:00,8,pase anual,18.06,0
Training_59169722.jpg,28834,carrusel encantado,2022-09-17 12:00:00,20,paquete vip,23.16,340
Training_72552568.jpg,13655,gran ca?da libre,2022-09-09 12:00:00,10,paquete vip,20.91,220
Training_8911067.jpg,19972,carrera de autos locos,2022-09-26 15:00:00,9,pase rapido erroneo,15.04,46
Training_19237812.jpg,5441,r?pido del trueno,2022-09-20 20:00:00,14,entrada infantil,25.29,0
Training_37488451.jpg,23844,monta?a rusa de la luna,2022-09-25 13:00:00,16,entrada individual,9.67,279
Training_4879752.jpg,6145,laberinto de sue?os,2022-09-10 05:00:00,12,entrada familiar,14.94,57
Training_94085355.jpg,26943,monta?a rusa de la luna,2022-09-09 11:00:00,5,entrada infantil,20.34,2
Training_99751984.jpg,32043,vuelta al mundo en 80 d?as,2022-09-04 22:00:00,7,entrada familiar,21.67,327
Training_20208912.jpg,1522,gran ca?da libre,2022-09-05 10:00:00,9,entrada infantil,14.61,0
Training_21243772.jpg,22111,carrera de autos locos,2022-09-25 12:00:00,12,entrada infantil,13.8,210
Training_30113079.jpg,3195,fiesta de los dulces,2022-09-30 08:00:00,11,paquete vip,19.21,311
Training_56543816.jpg,20659,caravana de aventuras,2022-09-26 18:00:00,6,entrada infantil,17.38,68
Training_72647284.jpg,27240,c?pula estelar,2022-09-18 19:00:00,14,entrada familiar,16.0,0
Training_78312130.jpg,19909,barco pirata misterioso,2022-09-12 07:00:00,4,paquete vip,18.0,8
Training_85932660.jpg,20588,desconocido,2022-09-26 03:00:00,4,paquete vip,14.5,264
Training_91534280.jpg,28318,circuito veloz,2022-09-21 22:00:00,8,entrada familiar,17.52,103
Training_94534277.jpg,9527,simulador espacial 3d,2022-09-03 06:00:00,15,entrada infantil,22.71,283
Training_1204614.jpg,11747,desconocido,2022-09-19 01:00:00,21,entrada infantil,18.06,1
Training_15524948.jpg,17170,desconocido,2022-09-05 11:00:00,8,pase rapido erroneo,7.22,175
Training_57944429.jpg,20460,desconocido,2022-09-21 04:00:00,13,entrada familiar,11.75,85
Training_68298637.jpg,20414,drag?n volador,2022-09-21 03:00:00,13,entrada infantil,28.66,1
Training_72115626.jpg,12890,simulador espacial 3d,2022-09-02 01:00:00,13,pase rapido erroneo,10.67,257
Training_86279124.jpg,8345,carros chocones divertidos,2022-09-13 06:00:00,11,paquete vip,23.2,69
Training_13319523.jpg,26955,mansi?n embrujada,2022-09-18 09:00:00,10,entrada familiar,29.5,307
Training_50683673.jpg,11124,aventuras acu?ticas,2022-09-05 12:00:00,14,pase anual,23.17,358
Training_98409862.jpg,2871,simulador espacial 3d,2022-10-01 01:00:00,11,entrada familiar,18.48,198
PublicTest_93746530.jpg,28893,cohetes gal?cticos,2022-09-08 05:00:00,15,pase anual,24.07,0
PrivateTest_65546158.jpg,4009,carrusel encantado,2022-09-19 14:00:00,12,entrada infantil,14.56,211
PublicTest_23782142.jpg,4121,espejos de la risue?a,2022-09-13 00:00:00,12,entrada infantil,22.22,107
PublicTest_35686529.jpg,23114,aventuras acu?ticas,2022-09-13 23:00:00,17,pase anual,11.3,87
PublicTest_88046230.jpg,19102,safari salvaje,2022-09-21 02:00:00,18,paquete vip,8.78,0
Training_10131352.jpg,12769,cine 4d emocionante,2022-09-22 02:00:00,13,entrada infantil,19.06,25
Training_15498699.jpg,7359,c?pula estelar,2022-09-23 17:00:00,11,pase rapido erroneo,17.92,273
Training_16538275.jpg,11423,c?pula estelar,2022-09-14 14:00:00,8,pase r?pido,16.05,0
Training_27707888.jpg,28469,ara?a saltarina,2022-09-09 09:00:00,16,paquete vip,13.07,84
Training_33408401.jpg,7316,tirolina extrema,2022-09-06 00:00:00,11,entrada familiar,19.19,360
Training_35899521.jpg,10722,circus fant?stico,2022-09-08 14:00:00,17,entrada individual,21.67,0
Training_46501880.jpg,26827,espejos de la risue?a,2022-09-16 00:00:00,9,pase rapido erroneo,18.89,139
Training_49106080.jpg,10138,safari salvaje,2022-09-15 17:00:00,9,pase anual,18.94,0
Training_53661557.jpg,13021,tobog?n del arco iris,2022-09-04 17:00:00,9,paquete vip,20.53,113
Training_81192903.jpg,11712,barco pirata misterioso,2022-09-07 13:00:00,12,entrada individual,14.08,0
Training_84325046.jpg,2421,carrera de autos locos,2022-09-27 19:00:00,12,pase rapido erroneo,17.29,197
Training_90026754.jpg,7802,cascada encantada,2022-09-14 15:00:00,10,entrada infantil,11.37,0
Training_91019189.jpg,4421,desconocido,2022-09-26 05:00:00,17,entrada infantil,26.76,0
Training_96298080.jpg,31103,cascada encantada,2022-09-20 01:00:00,10,entrada individual,9.63,210
Training_98000381.jpg,11264,mansi?n embrujada,2022-09-17 22:00:00,8,pase rapido erroneo,15.35,95
Training_18375779.jpg,19158,ara?a saltarina,2022-09-30 06:00:00,11,pase r?pido,11.02,0
Training_25912105.jpg,23100,safari salvaje,2022-09-04 07:00:00,13,paquete vip,19.58,57
Training_33315056.jpg,16635,safari salvaje,2022-09-26 07:00:00,10,entrada infantil,9.09,277
Training_5453423.jpg,30835,cascada encantada,2022-09-17 02:00:00,12,pase anual,24.82,346
Training_77982832.jpg,29284,mansi?n embrujada,2022-09-18 07:00:00,12,pase rapido erroneo,14.76,204
Training_12918469.jpg,12925,carrera de autos locos,2022-09-24 03:00:00,8,paquete vip,7.67,179
Training_14078248.jpg,2261,mansi?n embrujada,2022-09-08 14:00:00,18,pase rapido erroneo,12.24,27
Training_36557536.jpg,2006,caravana de aventuras,2022-09-23 14:00:00,18,paquete vip,17.03,175
Training_36725406.jpg,16402,laberinto de sue?os,2022-09-27 12:00:00,19,entrada familiar,15.23,0
Training_41454428.jpg,15746,vuelo m?gico,2022-09-17 18:00:00,15,entrada infantil,19.67,130
Training_69898122.jpg,20725,simulador espacial 3d,2022-09-06 09:00:00,12,entrada familiar,18.96,138
Training_9925349.jpg,15356,fiesta de los dulces,2022-09-30 20:00:00,15,entrada familiar,12.23,32
Training_13009130.jpg,23072,viaje al centro de la tierra,2022-09-26 13:00:00,13,entrada familiar,21.7,0
Training_21050219.jpg,27809,rueda de la fortuna,2022-09-10 18:00:00,16,paquete vip,15.08,320
Training_29858227.jpg,12828,carros chocones divertidos,2022-09-15 14:00:00,16,pase rapido erroneo,19.22,63
Training_70265936.jpg,5060,aventuras acu?ticas,2022-09-06 16:00:00,9,pase rapido erroneo,27.32,331
Training_83848798.jpg,10061,monta?a del misterio,2022-09-22 06:00:00,7,entrada infantil,25.94,28
Training_47173336.jpg,22169,mundo de las maravillas,2022-09-29 11:00:00,18,entrada familiar,13.12,195
Training_55847949.jpg,13498,circuito veloz,2022-09-16 23:00:00,9,entrada familiar,13.24,287
Training_93101774.jpg,17333,drag?n volador,2022-09-19 08:00:00,10,entrada familiar,21.83,0
PublicTest_43169549.jpg,9167,vuelta al mundo en 80 d?as,2022-09-06 01:00:00,16,entrada familiar,13.86,356
Training_10161559.jpg,10178,fiesta de los dulces,2022-10-01 02:00:00,12,entrada individual,17.72,320
Training_25957924.jpg,29175,circuito veloz,2022-09-19 03:00:00,11,entrada individual,24.43,284
Training_25979060.jpg,18932,aventuras acu?ticas,2022-09-21 00:00:00,10,entrada familiar,9.0,0
Training_30337890.jpg,10282,mundo de las maravillas,2022-09-23 17:00:00,16,entrada infantil,16.44,168
Training_44830316.jpg,10169,cascada encantada,2022-09-12 13:00:00,9,entrada infantil,12.89,1
Training_51885310.jpg,13072,torbellino espacial,2022-09-22 21:00:00,6,entrada infantil,16.09,1
Training_60986125.jpg,28640,torbellino espacial,2022-09-22 06:00:00,10,entrada individual,10.46,331
Training_62362932.jpg,10873,mundo de las maravillas,2022-09-04 15:00:00,8,paquete vip,13.3,8
Training_6971336.jpg,12381,carrera de autos locos,2022-09-04 04:00:00,10,paquete vip,7.43,132
Training_22868376.jpg,11508,caravana de aventuras,2022-09-19 09:00:00,19,entrada individual,10.48,235
Training_26552601.jpg,12584,fiesta de los dulces,2022-09-29 17:00:00,11,entrada infantil,13.35,118
Training_28677017.jpg,2842,drag?n volador,2022-09-11 03:00:00,10,pase anual,10.94,185
Training_42037605.jpg,12409,simulador espacial 3d,2022-09-18 02:00:00,11,pase rapido erroneo,13.82,26
Training_70760624.jpg,30577,monta?a del misterio,2022-09-29 07:00:00,19,entrada familiar,23.3,362
